id,name,description,waterbody_id,,,
535,Sisters Brook,Little Sister Lake Road,5210,,,
536,Gounamitz River,Above confluence with LMR,17951,,,
537,Unnamed - Reconnaissance #9,Downstream of Plaster Rock highway road crossing,5008,,,
538,Beadle Brook,Tent camp landing,4169,,,
539,S Br Burnthill Brook,Site begins 30 m downstream of bridge on main road in Deersdale (directly upstream of BHE2),4620,,,
540,Green Brook,Site begins 30 m below bridge on Road S-1 (first road to right on Road S),4648,,,
541,McKiel Brook,Above confluence at old wooden culvert. 20m walk from road which parallels McKiel Brook (lower site).,4401,,,
542,Beadle Brook,Off road I-11A. Stop at turn-around at corner ~ 30m through woods.,4169,,,
543,Salmon Brook,167.5m upstream from mouth, above bridge, after first bend,5518,
544,E Br Salmon Brook,60.8m up from mouth,5539,,,
545,Salmon Brook,70m up from confluence with E Br,5518,,,
546,Clearwater Brook,Irving bridge on main road (at mouth of Turnbull Brook),4901,,,
547,Taxis River,,3101,,,
548,Taxis River,,3101,,,
549,McBean Brook,50 m upstream from confluence to SW Miramichi River,3442,,,
550,Unnamed Stream,,5418,,,
551,SW Miramichi River,,4300,,,
552,Penniac Stream,Bridge on Harry Allen Road (off Rte 628),56801,,,
553,Nashwaak River,100 ft above Spencer camp - Take side road off Rte 628,54700,,,
554,Fullarton Brook,Near mouth,5216,,,
555,Fish Brook,At bridge,5400,,,
556,Burnthill Brook,,4601,,,
557,SW Miramichi River,,4300,,,
558,Rivière Caraquet,,40301,,,
559,Rivière Caraquet,,40301,,,
560,Rivière Caraquet,,40301,,,
561,Rivière Caraquet,,40301,,,
562,Dennis Stream,,39201,,,
563,Digdeguash River,Above bridge on Hwy 1,21155,,,
566,Kedgwick River,Wyers Bridge,18450,,,
567,Kedgwick River,Forks Pool,18450,,,
568,Kedgwick River,Fishing Lodge,18450,,,
569,Kedgwick River,8 Mile Pool,18450,,,
571,Lepreau River,Above bridge on Hwy 1,23101,,,
572,Little Southwest Miramichi Riv,,7950,,,
573,Little Southwest Miramichi Riv,Clelands,7950,,,
574,Magaguadavic River,Thomaston Corner,21450,,,
575,Nashwaak River,,54700,,,
576,New River,Below bridge on Hwy 1,22902,,,
577,Northwest Miramichi River,,9701,,,
578,Patapedia River,Million Dollar Pool at moutj pf Patapedia,20451,,,
579,Pocologan River,Above bridge on Hwy 1,22615,,,
580,Pokemouche River,,41101,,,
581,Big Sevogle River,,9104,,,
582,Southwest Miramichi River,McKiel,4300,,,
583,Southwest Miramichi River,Swazey's, Keith Pond's or McKiel,4300,,
584,Southwest Miramichi River,Swazey's, Keith Pond's or McKiel,4300,,
585,Southwest Miramichi River,Swazey,4300,,,
587,Black Brook,Black Brook,944,,,
588,Southwest Miramichi River,Swazey's, Keith Pond's or McKiel,4300,,
589,Tabusintac River,,42200,,,
590,Tabusintac River,,42200,,,
591,Tabusintac River,,42200,,,
592,Tabusintac River,,42200,,,
593,Upsalquitch River,,12401,,,
594,Upsalquitch River,Crib Pool,12401,,,
595,Waweig River,Below bridge Rte 127,39381,,,
596,Pokemouche River,Site,41101,,,
597,Matapedia River,Matapedia Bridge,,,,
598,Restigouche River,Downtown Matapedia, Quebec,12000,,
599,Northumberland?,Northumberland,,,,
600,Southwest Miramichi River,Below the mouth of Big Hole brook, off the ledge in the Main Southwest Miramichi River,4300,,
601,Southwest Miramichi River,Below mouth of Nelson Hollow brook halfway from the south bank of the Southwest Miramichi River and the island,4300,,,
602,Southwest Miramichi River,Hersey's pool, approximately 24 m from shore,4300,,
603,Southwest Miramichi River,Hogue pool, approximately 24 m from shore,4300,,
604,Southwest Miramichi River,Downstream of mouth of Bartholomew River above Warden's camp,4300,,,
605,Southwest Miramichi River,Upper end Wades Camp property in Wades home pool,4300,,,
606,Southwest Miramichi River,Mouth of MacKenzie brook approximately 7.6 m from shore,4300,,,
607,Cross Creek Stream,Below water falls and below mouth of intermittent stream,56101,,,
608,Messer Brook,100 m up from mouth and above foot bridge,55625,,,
609,Moose Lake,Bottom at deepest spot off point,5376,,,
610,Moose Lake,Surface at deepest spot off point,5376,,,
611,Tobique Fishway (tailrace),,77500,,,
612,Beechwood Dam (intake gatewell),,50001,,,
613,Below Beechwood (Bristol),,50001,,,
614,Below Beechwood (TCH),,50001,,,
615,Shikatehawk (Center Glassville),,54501,,,
616,Shikatehawk (West Glassville),,54501,,,
617,Below Mactaquac Dam,,50001,,,
618,Nashwaak Narrows,,54700,,,
619,Tay River,,55101,,,
620,Cross Creek,,56101,,,
621,Penniac Stream,,56801,,,
624,Salmon River (Vic. Co.),,76501,,,
625,Green Brown Brook,200M from structure in the canal on right side of marsh. Depth = 1.8m,39031,,,
626,Three Brooks,Offshore along the right of the marsh. 3m from shore, 1.2m deep,39040,,
627,Avondale,Open area of impoundment tied to a dead snag - 1.3m deep,71801,,,
628,Nasonworth Millstream,700m downstream of structure and to the left. 1.5 m  deep,53461,,,
629,Gilson Millstream,700m downstream of structure in main channel, 1.5m deep,85710,,
630,Black Brook 2,Mouth or SW Miramichi at confluence,944,,,
631,Black Brook 3,Mouth or SW Miramichi at confluence,944,,,
632,Crib Pool - Camp Harmony,,12401,,,
633,Indian House Pool,,12000,,,
634,Kedgwick Fishing Lodge,,18450,,,
636,McCloskey Pool,,4300,,,
637,Pine Island,,12000,,,
639,Big Hole Tract,,9701,,,
